Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2024,25ET3bQj,01/06/2024,16:00,BRASIL - BRASILEIRÃO BETANO,Grêmio,Red Bull Bragantino,RODADA 7,0,2,bet365,3.25,3.1,2.35,bet365,1.44,2.63,bet365,1.08,8.0,bet365,1.36,3.2,bet365,2.15,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.91,1.91
2024,UB6FR1Ic,01/06/2024,16:00,BRASIL - BRASILEIRÃO BETANO,Vitória,Atlético-GO,RODADA 7,0,2,bet365,2.25,3.1,3.6,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.25,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,1.95,1.8
2024,hnX3ibri,01/06/2024,17:00,BRASIL - SÉRIE B,Brusque,Novorizontino,RODADA 8,0,0,bet365,2.9,3.2,2.5,bet365,1.57,2.25,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.5,1.5,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.1,1.67
2024,dSZ2Icup,01/06/2024,18:30,BRASIL - BRASILEIRÃO BETANO,Cuiabá,Internacional,RODADA 7,0,1,bet365,3.7,3.1,2.2,bet365,1.62,2.2,bet365,1.13,6.0,bet365,1.62,2.3,bet365,2.88,1.4,bet365,6.0,1.13,bet365,13.0,1.04,bet365,2.25,1.57
2024,CzdKQLX3,01/06/2024,18:30,BRASIL - BRASILEIRÃO BETANO,Fluminense,Juventude,RODADA 7,1,1,bet365,1.57,4.2,5.25,bet365,1.36,3.0,bet365,1.05,11.0,bet365,1.3,3.5,bet365,1.95,1.95,bet365,3.4,1.33,bet365,6.0,1.13,bet365,1.95,1.8
2024,bifSOa2G,01/06/2024,21:00,BRASIL - BRASILEIRÃO BETANO,Corinthians,Botafogo,RODADA 7,0,1,bet365,2.1,3.3,3.7,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.25,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,1.95,1.8
2024,rXDZHIhO,01/07/2024,19:00,BRASIL - SÉRIE B,Santos,Chapecoense,RODADA 13,1,0,bet365,1.36,4.75,8.5,bet365,1.36,3.0,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.88,1.98,bet365,3.25,1.33,bet365,6.0,1.13,bet365,2.25,1.57
2024,GnHm698A,01/07/2024,20:00,BRASIL - BRASILEIRÃO BETANO,Palmeiras,Corinthians,RODADA 13,2,0,bet365,1.6,4.1,5.5,bet365,1.36,3.0,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.84,2.06,bet365,3.0,1.4,bet365,5.5,1.14,bet365,1.8,1.95
2024,novpxMwt,01/07/2024,21:00,BRASIL - SÉRIE B,CRB,Brusque,RODADA 13,1,1,bet365,1.75,3.4,5.0,bet365,1.5,2.5,bet365,1.08,7.5,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.2,1.62
2024,KWuOyGGo,01/09/2024,11:00,BRASIL - BRASILEIRÃO BETANO,Cruzeiro,Atlético-GO,RODADA 25,3,1,bet365,1.67,3.6,5.75,bet365,1.53,2.38,bet365,1.1,7.0,bet365,1.5,2.63,bet365,2.4,1.53,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.38,1.53
